reliability_unit_id,unit_type,coder_id,document_id,sentence_id,sentence_text,source_audit_id,source_span_text,candidate_lexical_unit,span_char_start,span_char_end,mipvu_decision,contextual_meaning,basic_meaning,historical_semantics_note,cluster_id,source_domain,target_domain,entailments,fantasy_type,violence_logic,obligatory_frame,absence_flags,confidence_score,ambiguity_flag,disagreement_category,coder_notes
rel_ident_doc_001_s01_p01_s01,sentence_identification,coder_a_stage4a_reference,doc_001,doc_001_s01_p01_s01,"As a subject for the remarks of the evening, _the perpetuation of our political institutions,_ is selected.",,,,,,not_metaphor_related,,,,,,,,,,,,,,none,Reference value generated from Stage 4A evidence anchors.
rel_ident_doc_001_s01_p01_s01,sentence_identification,coder_b_codex_second_pass,doc_001,doc_001_s01_p01_s01,"As a subject for the remarks of the evening, _the perpetuation of our political institutions,_ is selected.",,,,,,not_metaphor_related,,,,,,,,,,,,,,none,Second pass confirms the Stage 4A reference decision.
rel_ident_doc_001_s01_p02_s03,sentence_identification,coder_a_stage4a_reference,doc_001,doc_001_s01_p02_s03,"We, when mounting the stage of existence, found ourselves the legal inheritors of these fundamental blessings.",inst_00078,,the legal inheritors of these fundamental blessings,,,metaphor_related,,,,cluster_05_fathers_inheritance,Legal inheritance — the present generation as the legal heirs to property and rights established by ancestors,The American political institutions as a legal inheritance received from the founding generation without effort,The present generation did not earn the political institutions — they arrived as legal heirs to a completed inheritance|Legal inheritance creates obligation: heirs have a duty to maintain what they have received|'Fundamental blessings' frames the inheritance as both practically important and morally valuable|The inheritance frame sets up the corresponding duty frame that follows in subsequent sentences,ancestral_debt,inherited_obligation,true,disease_purification_absent,0.88,false,none,Reference value generated from Stage 4A evidence anchors.
rel_ident_doc_001_s01_p02_s03,sentence_identification,coder_b_codex_second_pass,doc_001,doc_001_s01_p02_s03,"We, when mounting the stage of existence, found ourselves the legal inheritors of these fundamental blessings.",inst_00078,,the legal inheritors of these fundamental blessings,,,metaphor_related,,,,cluster_05_fathers_inheritance,Legal inheritance — the present generation as the legal heirs to property and rights established by ancestors,The American political institutions as a legal inheritance received from the founding generation without effort,The present generation did not earn the political institutions — they arrived as legal heirs to a completed inheritance|Legal inheritance creates obligation: heirs have a duty to maintain what they have received|'Fundamental blessings' frames the inheritance as both practically important and morally valuable|The inheritance frame sets up the corresponding duty frame that follows in subsequent sentences,ancestral_debt,inherited_obligation,true,disease_purification_absent,0.88,false,none,Second pass confirms the Stage 4A reference decision.
rel_ident_doc_001_s01_p02_s04,sentence_identification,coder_a_stage4a_reference,doc_001,doc_001_s01_p02_s04,"We toiled not in the acquirement or establishment of them--they are a legacy bequeathed us, by a _once_ hardy, brave, and patriotic, but _now_ lamented and departed race of ancestors.",inst_00079,,"a legacy bequeathed us, by a _once_ hardy, brave, and patriotic, but _now_ lamented and departed race of ancestors",,,metaphor_related,,,,cluster_05_fathers_inheritance,Testamentary legacy — ancestors bequeathing their achievements as a legacy to descendants; the founding generation as a departed testator,The political institutions and freedoms as a legacy bequeathed by the founding generation who are now dead — their achievements constitute the present generation's patrimony,"'Bequeathed' is testamentary language — the founding generation formally left us their achievements as an inheritance|The once/now contrast (hardy, brave, patriotic vs. lamented and departed) frames the founding generation as a race that has ceased to exist — their deaths make the legacy both precious and fragile|We toiled not — the present generation received the inheritance without effort; this creates the obligation to preserve what we did not earn|The 'departed race' formula frames the founding generation as a distinct people, not just historical predecessors — their extinction is a loss that creates urgency",ancestral_debt,inherited_obligation,true,disease_purification_absent,0.92,false,none,Reference value generated from Stage 4A evidence anchors.
rel_ident_doc_001_s01_p02_s04,sentence_identification,coder_b_codex_second_pass,doc_001,doc_001_s01_p02_s04,"We toiled not in the acquirement or establishment of them--they are a legacy bequeathed us, by a _once_ hardy, brave, and patriotic, but _now_ lamented and departed race of ancestors.",inst_00079,,"a legacy bequeathed us, by a _once_ hardy, brave, and patriotic, but _now_ lamented and departed race of ancestors",,,metaphor_related,,,,cluster_05_fathers_inheritance,Testamentary legacy — ancestors bequeathing their achievements as a legacy to descendants; the founding generation as a departed testator,The political institutions and freedoms as a legacy bequeathed by the founding generation who are now dead — their achievements constitute the present generation's patrimony,"'Bequeathed' is testamentary language — the founding generation formally left us their achievements as an inheritance|The once/now contrast (hardy, brave, patriotic vs. lamented and departed) frames the founding generation as a race that has ceased to exist — their deaths make the legacy both precious and fragile|We toiled not — the present generation received the inheritance without effort; this creates the obligation to preserve what we did not earn|The 'departed race' formula frames the founding generation as a distinct people, not just historical predecessors — their extinction is a loss that creates urgency",ancestral_debt,inherited_obligation,true,disease_purification_absent,0.92,false,none,Second pass confirms the Stage 4A reference decision.
rel_ident_doc_001_s01_p04_s05,sentence_identification,coder_a_stage4a_reference,doc_001,doc_001_s01_p04_s05,"As a nation of freemen, we must live through all time, or die by suicide.",inst_00080,,"live through all time, or die by suicide",,,metaphor_related,,,,cluster_01_body_organism,Organism life and death — a nation as a living being that can live indefinitely or kill itself through self-inflicted destruction,"The American republic as a living organism whose only mortal danger is internal self-destruction (mob violence, disregard for law), not external attack","The republic's only mortal threat is internal — foreign armies cannot kill it; only Americans can|'Suicide' frames internal self-destruction as a freely chosen death — the national organism kills itself|The nation-as-organism frame makes institutional decay a form of physiological deterioration|This is the earliest nation-as-organism instance in the corpus — 1838, 20 years before the House Divided Speech",wound_and_healing,internal_self_destruction,true,disease_purification_absent,0.85,false,none,Reference value generated from Stage 4A evidence anchors.
rel_ident_doc_001_s01_p04_s05,sentence_identification,coder_b_codex_second_pass,doc_001,doc_001_s01_p04_s05,"As a nation of freemen, we must live through all time, or die by suicide.",inst_00080,,"live through all time, or die by suicide",,,metaphor_related,,,,cluster_01_body_organism,Organism life and death — a nation as a living being that can live indefinitely or kill itself through self-inflicted destruction,"The American republic as a living organism whose only mortal danger is internal self-destruction (mob violence, disregard for law), not external attack","The republic's only mortal threat is internal — foreign armies cannot kill it; only Americans can|'Suicide' frames internal self-destruction as a freely chosen death — the national organism kills itself|The nation-as-organism frame makes institutional decay a form of physiological deterioration|This is the earliest nation-as-organism instance in the corpus — 1838, 20 years before the House Divided Speech",wound_and_healing,internal_self_destruction,true,disease_purification_absent,0.85,false,none,Second pass confirms the Stage 4A reference decision.
rel_ident_doc_001_s01_p12_s03,sentence_identification,coder_a_stage4a_reference,doc_001,doc_001_s01_p12_s03,"As the patriots of seventy-six did to the support of the Declaration of Independence, so to the support of the Constitution and Laws, let every American pledge his life, his property, and his sacred honor;--let every man remember that to violate the law, is to trample on the blood of his father, and to tear the character of his own, and his children's liberty.",inst_00081,,trample on the blood of his father,,,metaphor_related,,,,cluster_05_fathers_inheritance,Blood inheritance — the founding generation's sacrifice as a blood-covenant; violating the law is desecrating the blood of the fathers who fought for it,The obligation to revere the laws as inherited from the founding generation whose blood paid for them — law-violation is blood-desecration,"The laws are blood-consecrated — established by the founders' sacrifice, the laws partake of their blood|Violating the law is an act of literal desecration — trampling on something sacred|The blood-inheritance frame makes law-reverence not just a civic duty but a moral obligation derived from the founding sacrifice|This is cluster_05's most visceral form — not legal inheritance or testamentary legacy but blood-covenant inheritance",ancestral_debt,blood_covenant_obligation,true,disease_purification_absent,0.88,false,none,Reference value generated from Stage 4A evidence anchors.
rel_ident_doc_001_s01_p12_s03,sentence_identification,coder_b_codex_second_pass,doc_001,doc_001_s01_p12_s03,"As the patriots of seventy-six did to the support of the Declaration of Independence, so to the support of the Constitution and Laws, let every American pledge his life, his property, and his sacred honor;--let every man remember that to violate the law, is to trample on the blood of his father, and to tear the character of his own, and his children's liberty.",inst_00081,,trample on the blood of his father,,,metaphor_related,,,,cluster_05_fathers_inheritance,Blood inheritance — the founding generation's sacrifice as a blood-covenant; violating the law is desecrating the blood of the fathers who fought for it,The obligation to revere the laws as inherited from the founding generation whose blood paid for them — law-violation is blood-desecration,"The laws are blood-consecrated — established by the founders' sacrifice, the laws partake of their blood|Violating the law is an act of literal desecration — trampling on something sacred|The blood-inheritance frame makes law-reverence not just a civic duty but a moral obligation derived from the founding sacrifice|This is cluster_05's most visceral form — not legal inheritance or testamentary legacy but blood-covenant inheritance",ancestral_debt,blood_covenant_obligation,true,disease_purification_absent,0.88,false,none,Second pass confirms the Stage 4A reference decision.
