packet_unit_id,coder_id,task_type,doc_id,sentence_id,sentence_text,span_text,span_char_start,span_char_end,mipvu_decision,cluster_id,source_domain,target_domain,entailments,fantasy_type,violence_logic,obligatory_frame,obligatory_frame_notes,absence_flags,absence_notes,confidence_score,ambiguity_flag,ambiguity_notes,rival_reading,coder_notes
stage4h_ident_00001,,sentence_identification,doc_001,doc_001_s01_p01_s01,"As a subject for the remarks of the evening, _the perpetuation of our political institutions,_ is selected.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00002,,sentence_identification,doc_001,doc_001_s01_p02_s03,"We, when mounting the stage of existence, found ourselves the legal inheritors of these fundamental blessings.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00003,,sentence_identification,doc_001,doc_001_s01_p02_s04,"We toiled not in the acquirement or establishment of them--they are a legacy bequeathed us, by a _once_ hardy, brave, and patriotic, but _now_ lamented and departed race of ancestors.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00004,,sentence_identification,doc_001,doc_001_s01_p04_s05,"As a nation of freemen, we must live through all time, or die by suicide.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00005,,sentence_identification,doc_001,doc_001_s01_p12_s03,"As the patriots of seventy-six did to the support of the Declaration of Independence, so to the support of the Constitution and Laws, let every American pledge his life, his property, and his sacred honor;--let every man remember that to violate the law, is to trample on the blood of his father, and to tear the character of his own, and his children's liberty.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00006,,sentence_identification,doc_001,doc_001_s01_p14_s02,"But I do mean to say, that, although bad laws, if they exist, should be repealed as soon as possible, still while they continue in force, for the sake of example, they should be religiously observed.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00007,,sentence_identification,doc_001,doc_001_s01_p17_s06,"Through that period, it was felt by all, to be an undecided experiment; now, it is understood to be a successful one.--Then, all that sought celebrity and fame, and distinction, expected to find them in the success of that experiment.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00008,,sentence_identification,doc_001,doc_001_s01_p17_s08,"Their ambition aspired to display before an admiring world, a practical demonstration of the truth of a proposition, which had hitherto been considered, at best no better, than problematical; namely, _the capability of a people to govern themselves_.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00009,,sentence_identification,doc_001,doc_001_s01_p17_s12,The experiment is successful; and thousands have won their deathless names in making it so.,,,,,,,,,,,,,,,,,,,
stage4h_ident_00010,,sentence_identification,doc_001,doc_001_s01_p23_s01,"They _were_ the pillars of the temple of liberty; and now, that they have crumbled away, that temple must fall, unless we, their descendants, supply their places with other pillars, hewn from the solid quarry of sober reason.",,,,,,,,,,,,,,,,,,,
